Starting safe image mapping flow...
ID 24 Linked to -> q_24_geo_rosa_ventos.png
ID 28 Linked to -> q_28_geo_bussola.png
ID 13 Linked to -> q_13_geo_america_sul_mundi.png
ID 14 Linked to -> q_14_geo_bussola.png
ID 10 Linked to -> q_10_geo_america_sul_mundi.png
ID 9 Linked to -> q_9_geo_america_sul_mundi.png
ID 11 Linked to -> q_11_geo_america_sul_mundi.png
ID 5 Linked to -> q_5_geo_rosa_ventos.png
ID 27 Linked to -> q_27_geo_bussola.png
ID 40 Linked to -> q_40_geo_camadas_terra.png
ID 54 Linked to -> q_54_geo_america_sul_mundi.png
ID 43 Linked to -> q_43_geo_camadas_atmosfera.png
ID 45 Linked to -> q_45_geo_camadas_atmosfera.png
ID 55 Linked to -> q_55_geo_america_sul_mundi.png
ID 30 Linked to -> q_30_geo_globo_imaginarias.png
ID 33 Linked to -> q_33_geo_america_sul_mundi.png
ID 38 Linked to -> q_38_geo_translacao_terra.png
ID 41 Linked to -> q_41_geo_camadas_terra.png
ID 47 Linked to -> q_47_geo_america_sul_mundi.png
ID 256 Linked to -> q_256_geo_bussola.png
ID 76 Linked to -> q_76_geo_globo_imaginarias.png
ID 60 Linked to -> q_60_geo_america_sul_mundi.png
ID 58 Linked to -> q_58_geo_america_sul_mundi.png
ID 68 Linked to -> q_68_geo_america_sul_mundi.png
ID 56 Linked to -> q_56_geo_america_sul_mundi.png
ID 57 Linked to -> q_57_geo_america_sul_mundi.png
ID 74 Linked to -> q_74_geo_bussola.png
ID 82 Linked to -> q_82_geo_america_sul_mundi.png
ID 77 Linked to -> q_77_geo_globo_imaginarias.png
ID 59 Linked to -> q_59_geo_america_sul_mundi.png
ID 89 Linked to -> q_89_geo_bussola.png
ID 84 Linked to -> q_84_geo_america_sul_mundi.png
ID 110 Linked to -> q_110_geo_globo_imaginarias.png
ID 104 Linked to -> q_104_geo_rosa_ventos.png
ID 421 Linked to -> q_421_mat_abaco_base.png
ID 92 Linked to -> q_92_geo_rotacao_terra.png
ID 83 Linked to -> q_83_geo_america_sul_mundi.png
ID 93 Linked to -> q_93_geo_translacao_terra.png
ID 107 Linked to -> q_107_geo_bussola.png
ID 91 Linked to -> q_91_geo_camadas_atmosfera.png
ID 94 Linked to -> q_94_geo_bussola.png
ID 113 Linked to -> q_113_geo_america_sul_mundi.png
ID 125 Linked to -> q_125_geo_camadas_atmosfera.png
ID 135 Linked to -> q_135_geo_america_sul_mundi.png
ID 138 Linked to -> q_138_geo_america_sul_mundi.png
ID 136 Linked to -> q_136_geo_america_sul_mundi.png
ID 120 Linked to -> q_120_geo_camadas_terra.png
ID 134 Linked to -> q_134_geo_america_sul_mundi.png
ID 137 Linked to -> q_137_geo_america_sul_mundi.png
ID 118 Linked to -> q_118_geo_translacao_terra.png
ID 124 Linked to -> q_124_geo_camadas_atmosfera.png
ID 121 Linked to -> q_121_geo_camadas_terra.png
ID 127 Linked to -> q_127_geo_america_sul_mundi.png
ID 123 Linked to -> q_123_geo_camadas_atmosfera.png
ID 139 Linked to -> q_139_geo_america_sul_mundi.png
ID 140 Linked to -> q_140_geo_america_sul_mundi.png
ID 162 Linked to -> q_162_geo_america_sul_mundi.png
ID 148 Linked to -> q_148_geo_america_sul_mundi.png
ID 159 Linked to -> q_159_geo_globo_imaginarias.png
ID 154 Linked to -> q_154_geo_bussola.png
ID 142 Linked to -> q_142_geo_america_sul_mundi.png
ID 156 Linked to -> q_156_geo_globo_imaginarias.png
ID 158 Linked to -> q_158_geo_globo_imaginarias.png
ID 163 Linked to -> q_163_geo_america_sul_mundi.png
ID 171 Linked to -> q_171_geo_camadas_atmosfera.png
ID 186 Linked to -> q_186_geo_globo_imaginarias.png
ID 175 Linked to -> q_175_geo_continentes.png
ID 179 Linked to -> q_179_geo_rosa_ventos.png
ID 164 Linked to -> q_164_geo_america_sul_mundi.png
ID 12 Linked to -> q_12_geo_america_sul_mundi.png
ID 173 Linked to -> q_173_geo_translacao_terra.png
ID 189 Linked to -> q_189_geo_america_sul_mundi.png
ID 177 Linked to -> q_177_geo_oceanos.png
ID 184 Linked to -> q_184_geo_globo_imaginarias.png
ID 172 Linked to -> q_172_geo_rotacao_terra.png
ID 185 Linked to -> q_185_geo_bussola.png
ID 174 Linked to -> q_174_geo_continentes.png
ID 197 Linked to -> q_197_geo_america_sul_mundi.png
ID 435 Linked to -> q_435_mat_abaco_base.png
ID 80 Linked to -> q_80_geo_america_sul_mundi.png
ID 194 Linked to -> q_194_geo_continentes.png
ID 434 Linked to -> q_434_mat_abaco_base.png
ID 432 Linked to -> q_432_mat_abaco_base.png
ID 4 Linked to -> q_4_geo_globo_imaginarias.png
ID 32 Linked to -> q_32_geo_globo_imaginarias.png
ID 424 Linked to -> q_424_mat_abaco_base.png
ID 78 Linked to -> q_78_geo_globo_imaginarias.png
ID 289 Linked to -> q_289_mat_barraca_feira.png
ID 212 Linked to -> q_212_geo_rosa_ventos.png
ID 207 Linked to -> q_207_geo_bussola.png
ID 199 Linked to -> q_199_geo_translacao_terra.png
ID 79 Linked to -> q_79_geo_globo_imaginarias.png
ID 112 Linked to -> q_112_geo_globo_imaginarias.png
ID 44 Linked to -> q_44_geo_camadas_atmosfera.png
ID 157 Linked to -> q_157_geo_globo_imaginarias.png
ID 443 Linked to -> q_443_mat_abaco_base.png
ID 445 Linked to -> q_445_mat_abaco_base.png
ID 455 Linked to -> q_455_geo_sol_poente.png
ID 226 Linked to -> q_226_geo_rosa_ventos.png
ID 221 Linked to -> q_221_geo_globo_equador.png
ID 222 Linked to -> q_222_geo_globo_imaginarias.png
ID 223 Linked to -> q_223_geo_globo_imaginarias.png
ID 450 Linked to -> q_450_geo_sol_poente.png
ID 213 Linked to -> q_213_geo_rosa_ventos.png
ID 216 Linked to -> q_216_geo_bussola.png
ID 220 Linked to -> q_220_geo_globo_equador.png
ID 236 Linked to -> q_236_geo_america_sul_mundi.png
ID 231 Linked to -> q_231_geo_globo_imaginarias.png
ID 232 Linked to -> q_232_geo_globo_imaginarias.png
ID 234 Linked to -> q_234_geo_america_sul_mundi.png
ID 228 Linked to -> q_228_geo_bussola.png
ID 230 Linked to -> q_230_geo_globo_equador.png
ID 201 Linked to -> q_201_geo_camadas_atmosfera.png
ID 248 Linked to -> q_248_geo_america_sul_mundi.png
ID 249 Linked to -> q_249_geo_america_sul_mundi.png
ID 240 Linked to -> q_240_geo_camadas_atmosfera.png
ID 384 Linked to -> q_384_mat_qvl_base.png
ID 253 Linked to -> q_253_geo_america_sul_mundi.png
ID 250 Linked to -> q_250_geo_america_sul_mundi.png
ID 427 Linked to -> q_427_mat_abaco_base.png
ID 187 Linked to -> q_187_geo_oceanos.png
ID 394 Linked to -> q_394_mat_qvl_base.png
ID 176 Linked to -> q_176_geo_oceanos.png
ID 210 Linked to -> q_210_geo_america_sul_mundi.png
ID 224 Linked to -> q_224_geo_america_sul_mundi.png
ID 269 Linked to -> q_269_geo_sol_poente.png
ID 188 Linked to -> q_188_geo_asia_mundi.png
ID 420 Linked to -> q_420_mat_abaco_base.png
ID 161 Linked to -> q_161_geo_bussola.png
ID 191 Linked to -> q_191_geo_oceanos.png
ID 402 Linked to -> q_402_mat_qvl_base.png
ID 400 Linked to -> q_400_mat_qvl_base.png
ID 1 Linked to -> q_1_geo_continentes.png
ID 15 Linked to -> q_15_geo_continentes.png
ID 415 Linked to -> q_415_mat_qvl_base.png
ID 391 Linked to -> q_391_mat_qvl_base.png
ID 417 Linked to -> q_417_mat_qvl_base.png
ID 390 Linked to -> q_390_mat_qvl_base.png
ID 410 Linked to -> q_410_mat_qvl_base.png
ID 381 Linked to -> q_381_mat_qvl_base.png
ID 447 Linked to -> q_447_mat_abaco_base.png
ID 95 Linked to -> q_95_geo_continentes.png
ID 405 Linked to -> q_405_mat_qvl_base.png
ID 182 Linked to -> q_182_geo_bussola.png
ID 183 Linked to -> q_183_geo_continentes.png
ID 208 Linked to -> q_208_geo_africa_mundi.png
ID 422 Linked to -> q_422_mat_abaco_base.png
ID 428 Linked to -> q_428_mat_abaco_base.png
ID 217 Linked to -> q_217_geo_continentes.png
ID 205 Linked to -> q_205_geo_continentes.png
ID 206 Linked to -> q_206_geo_continentes.png
ID 218 Linked to -> q_218_geo_asia_mundi.png
ID 209 Linked to -> q_209_geo_oceanos.png
ID 195 Linked to -> q_195_geo_globo_imaginarias.png
ID 62 Linked to -> q_62_geo_america_sul_mundi.png
ID 50 Linked to -> q_50_geo_bussola.png
ID 437 Linked to -> q_437_mat_abaco_base.png
ID 448 Linked to -> q_448_mat_abaco_base.png
ID 454 Linked to -> q_454_geo_sol_poente.png
ID 202 Linked to -> q_202_geo_bussola.png
ID 160 Linked to -> q_160_geo_america_sul_mundi.png
ID 399 Linked to -> q_399_mat_qvl_base.png
ID 233 Linked to -> q_233_geo_america_sul_mundi.png
ID 23 Linked to -> q_23_geo_africa_mundi.png
ID 22 Linked to -> q_22_geo_america_sul_mundi.png
ID 385 Linked to -> q_385_mat_qvl_base.png
